T/V,N,NB,P,Q,Time,Gflops
WR11C2R4,132000,50,3,16,2014.79,7.610e+02
WR11C2R4,132000,50,4,12,2010.61,7.626e+02
WR11C2R4,132000,50,6,8,2007.90,7.637e+02
WR11C2R4,132000,50,8,6,2020.49,7.589e+02
WR11C2R4,132000,100,3,16,1436.80,1.067e+03
WR11C2R4,132000,100,4,12,1423.59,1.077e+03
WR11C2R4,132000,100,6,8,1405.43,1.091e+03
WR11C2R4,132000,100,8,6,1415.03,1.084e+03
WR11C2R4,132000,150,3,16,1228.97,1.248e+03
WR11C2R4,132000,150,4,12,1237.85,1.239e+03
WR11C2R4,132000,150,6,8,1275.02,1.203e+03
WR11C2R4,132000,150,8,6,1190.45,1.288e+03
WR11C2R4,132000,200,3,16,1277.09,1.201e+03
WR11C2R4,132000,200,4,12,1274.44,1.203e+03
WR11C2R4,132000,200,6,8,1293.91,1.185e+03
WR11C2R4,132000,200,8,6,1281.14,1.197e+03
WR11C2R4,132000,250,3,16,1397.47,1.097e+03
WR11C2R4,132000,250,4,12,1383.16,1.109e+03
WR11C2R4,132000,250,6,8,1383.34,1.108e+03
WR11C2R4,132000,250,8,6,1393.05,1.101e+03
WR11C2R4,132000,300,3,16,1417.78,1.082e+03
WR11C2R4,132000,300,4,12,1425.44,1.076e+03
WR11C2R4,132000,300,6,8,1421.56,1.079e+03
WR11C2R4,132000,300,8,6,1446.67,1.060e+03
