size,Gflops
160, 0.280513
112, 0.19859
120, 0.195353
120, 0.194882
120, 0.196464
120, 0.197266
120, 0.196301
128, 0.200786
128, 0.201557
128, 0.200406
128, 0.197175
104, 0.198887
128, 0.196807
136, 0.202569
136, 0.200758
136, 0.199643
136, 0.200222
136, 0.199983
136, 0.201999
144, 0.202879
144, 0.201333
144, 0.200981
104, 0.197312
144, 0.201602
152, 0.296368
152, 0.233817
152, 0.221245
152, 0.296522
152, 0.302112
152, 0.331129
160, 0.405534
160, 0.193078
160, 0.207864
104, 0.196134
160, 0.208671
160, 0.252886
160, 0.264626
16, 0.0128596
24, 0.040287
32, 0.0850597
40, 0.117253
40, 0.115533
48, 0.139411
48, 0.139863
104, 0.198277
56, 0.168929
64, 0.182517
64, 0.182436
64, 0.181257
64, 0.180391
72, 0.191215
72, 0.189355
72, 0.190899
80, 0.194856
80, 0.194055
112, 0.201109
80, 0.196111
88, 0.194076
88, 0.194749
88, 0.191698
88, 0.19354
16, 0.0132693
96, 0.199643
96, 0.197088
96, 0.197617
96, 0.197289
112, 0.200251
112, 0.19713
112, 0.198636
